time,pitch,Syllable1,Syllable2,Normtime,speaker,pitch_con
18,-139.7628835,3,4,_HLCD5,s3,_HLCD5_s3_1
19,-116.2790819,3,4,_HLCD5,s3,_HLCD5_s3_1
20,-94.57394913,3,4,_HLCD5,s3,_HLCD5_s3_1
21,-74.45989442,3,4,_HLCD5,s3,_HLCD5_s3_1
22,-57.72527931,3,4,_HLCD5,s3,_HLCD5_s3_1
23,-44.65050877,3,4,_HLCD5,s3,_HLCD5_s3_1
24,-33.51437017,3,4,_HLCD5,s3,_HLCD5_s3_1
25,-26.29760687,3,4,_HLCD5,s3,_HLCD5_s3_1
26,-20.06278879,3,4,_HLCD5,s3,_HLCD5_s3_1
27,-15.41031431,3,4,_HLCD5,s3,_HLCD5_s3_1
28,-10.37168241,3,4,_HLCD5,s3,_HLCD5_s3_1
29,-4.862349326,3,4,_HLCD5,s3,_HLCD5_s3_1
30,3.651672121,3,4,_HLCD5,s3,_HLCD5_s3_1
1,29.7648902,3,4,_HLCD5,s3,_HLCD5_s3_2
2,54.26202617,3,4,_HLCD5,s3,_HLCD5_s3_2
3,82.43235253,3,4,_HLCD5,s3,_HLCD5_s3_2
4,112.4693367,3,4,_HLCD5,s3,_HLCD5_s3_2
5,142.5598901,3,4,_HLCD5,s3,_HLCD5_s3_2
6,169.4940051,3,4,_HLCD5,s3,_HLCD5_s3_2
7,189.9087101,3,4,_HLCD5,s3,_HLCD5_s3_2
8,204.016253,3,4,_HLCD5,s3,_HLCD5_s3_2
9,211.3896773,3,4,_HLCD5,s3,_HLCD5_s3_2
10,211.1456285,3,4,_HLCD5,s3,_HLCD5_s3_2
11,201.2090547,3,4,_HLCD5,s3,_HLCD5_s3_2
12,183.6762909,3,4,_HLCD5,s3,_HLCD5_s3_2
13,158.4693411,3,4,_HLCD5,s3,_HLCD5_s3_2
14,125.7304278,3,4,_HLCD5,s3,_HLCD5_s3_2
15,85.36931902,3,4,_HLCD5,s3,_HLCD5_s3_2
16,41.295739,3,4,_HLCD5,s3,_HLCD5_s3_2
17,-3.693657639,3,4,_HLCD5,s3,_HLCD5_s3_2
18,-47.56873181,3,4,_HLCD5,s3,_HLCD5_s3_2
19,-87.39985617,3,4,_HLCD5,s3,_HLCD5_s3_2
20,-119.976563,3,4,_HLCD5,s3,_HLCD5_s3_2
21,-145.2871964,3,4,_HLCD5,s3,_HLCD5_s3_2
22,-163.4955276,3,4,_HLCD5,s3,_HLCD5_s3_2
23,-175.1913787,3,4,_HLCD5,s3,_HLCD5_s3_2
24,-180.1609951,3,4,_HLCD5,s3,_HLCD5_s3_2
25,-181.7576472,3,4,_HLCD5,s3,_HLCD5_s3_2
26,-182.3018245,3,4,_HLCD5,s3,_HLCD5_s3_2
27,-183.1067638,3,4,_HLCD5,s3,_HLCD5_s3_2
28,-183.6236389,3,4,_HLCD5,s3,_HLCD5_s3_2
29,-184.5052707,3,4,_HLCD5,s3,_HLCD5_s3_2
30,-184.9305177,3,4,_HLCD5,s3,_HLCD5_s3_2
1,-82.26285426,3,1,_HHCA3,s1,_HHCA3_s1_1
2,-94.8417427,3,1,_HHCA3,s1,_HHCA3_s1_1
3,-108.9645868,3,1,_HHCA3,s1,_HHCA3_s1_1
4,-126.7691715,3,1,_HHCA3,s1,_HHCA3_s1_1
5,-140.9940597,3,1,_HHCA3,s1,_HHCA3_s1_1
6,-152.7406965,3,1,_HHCA3,s1,_HHCA3_s1_1
7,-175.253436,3,1,_HHCA3,s1,_HHCA3_s1_1
8,-198.8815099,3,1,_HHCA3,s1,_HHCA3_s1_1
9,-221.3173752,3,1,_HHCA3,s1,_HHCA3_s1_1
10,-240.7630431,3,1,_HHCA3,s1,_HHCA3_s1_1
11,-256.9337328,3,1,_HHCA3,s1,_HHCA3_s1_1
12,-267.2226004,3,1,_HHCA3,s1,_HHCA3_s1_1
13,-275.2622394,3,1,_HHCA3,s1,_HHCA3_s1_1
14,-276.2050388,3,1,_HHCA3,s1,_HHCA3_s1_1
15,-274.5448455,3,1,_HHCA3,s1,_HHCA3_s1_1
16,-268.3294145,3,1,_HHCA3,s1,_HHCA3_s1_1
17,-258.8081065,3,1,_HHCA3,s1,_HHCA3_s1_1
18,-247.576862,3,1,_HHCA3,s1,_HHCA3_s1_1
19,-232.2828015,3,1,_HHCA3,s1,_HHCA3_s1_1
20,-216.0330326,3,1,_HHCA3,s1,_HHCA3_s1_1
21,-197.4965408,3,1,_HHCA3,s1,_HHCA3_s1_1
22,-177.8927827,3,1,_HHCA3,s1,_HHCA3_s1_1
23,-157.3996362,3,1,_HHCA3,s1,_HHCA3_s1_1
24,-136.529451,3,1,_HHCA3,s1,_HHCA3_s1_1
25,-115.6434607,3,1,_HHCA3,s1,_HHCA3_s1_1
26,-95.10913914,3,1,_HHCA3,s1,_HHCA3_s1_1
27,-74.70174073,3,1,_HHCA3,s1,_HHCA3_s1_1
28,-54.46134649,3,1,_HHCA3,s1,_HHCA3_s1_1
29,-33.651185,3,1,_HHCA3,s1,_HHCA3_s1_1
30,-12.18117219,3,1,_HHCA3,s1,_HHCA3_s1_1
1,28.47495018,3,1,_HHCA3,s1,_HHCA3_s1_2
2,64.15865796,3,1,_HHCA3,s1,_HHCA3_s1_2
3,99.81851624,3,1,_HHCA3,s1,_HHCA3_s1_2
4,133.6221554,3,1,_HHCA3,s1,_HHCA3_s1_2
5,163.5013708,3,1,_HHCA3,s1,_HHCA3_s1_2
6,185.1067463,3,1,_HHCA3,s1,_HHCA3_s1_2
7,197.735337,3,1,_HHCA3,s1,_HHCA3_s1_2
8,203.3723497,3,1,_HHCA3,s1,_HHCA3_s1_2
9,202.5861692,3,1,_HHCA3,s1,_HHCA3_s1_2
10,196.125085,3,1,_HHCA3,s1,_HHCA3_s1_2
11,184.9915429,3,1,_HHCA3,s1,_HHCA3_s1_2
