1st,2nd,3rd,pitch,pitch_con,tone,sort,duration,1st_norm,2nd_norm,3rd_norm,pitch,pitch_con,slope,height,strength,duration,tone,pitch_con,numPoints,previous_tone,this_tone,tone,sort
-111.4505282,35.92211388,-7.140695783,120.4500558,meng_3_144,3,144,54.54545,-18.08663266,10.68756929,-3.894924648,120.4500558,meng_3_144,-69,1.652054837,57,55.09039293,3,meng_3_144,5,empty,3,3,144
20.1084212,-85.3139571,49.7317741,250.3791357,meng_4_146,4,146,122.72727,37.17073893,-128.4997355,61.03444867,250.3791357,meng_4_146,49,-8.123821839,20,143.0896982,4,meng_4_146,10,3,4,4,146
-3.046539577,-43.90523846,13.50890469,233.7466963,meng_3_148,3,148,68.18182,-0.9656341,-20.41049418,9.210617083,233.7466963,meng_3_148,-69,-3.369949522,80,78.64976045,3,meng_3_148,6,4,3,3,148
10.39418386,-16.51158252,12.82361202,215.9187027,meng_2_150,2,150,136.36363,26.35639792,-30.70335306,17.48674285,215.9187027,meng_2_150,5,-2.482474623,50,142.6668857,2,meng_2_150,11,5,2,2,150
4.220040458,-28.15819595,29.66332456,228.2595047,meng_4_151,4,151,136.36364,10.7007045,-52.36028451,40.44998911,228.2595047,meng_4_151,-11,-2.239495203,50,139.7739229,4,meng_4_151,11,2,4,4,151
-49.99837164,55.20849713,-19.11531019,242.2576086,meng_3_156,3,156,109.09091,-64.91148636,65.70267537,-20.85306583,242.2576086,meng_3_156,-30,-2.824568373,60,112.8401774,3,meng_3_156,9,empty,3,3,156
-3.646913567,-56.88200031,86.30469193,223.0756616,meng_4_157,4,157,136.36364,-9.247433713,-105.7723203,117.6882194,223.0756616,meng_4_157,-41,-2.896493643,65,148.7225998,4,meng_4_157,11,3,4,4,157
-66.66432514,65.59161484,-33.49543012,243.5574262,meng_3_159,3,159,81.81818,-36.51261442,43.90843443,-27.4053513,243.5574262,meng_3_159,-26,-2.517715361,80,100.6093581,3,meng_3_159,7,4,3,3,159
4.283729206,-34.45785609,54.44389687,233.7429099,meng_4_161,4,161,136.36363,10.86219688,-64.07451981,74.24167409,233.7429099,meng_4_161,-9,-0.634413577,60,143.3535029,4,meng_4_161,11,5,4,4,161
-3.562760649,5.867838058,-25.20252551,253.1041696,meng_4_162,4,162,122.72727,-6.58582017,8.838127591,-30.93037153,253.1041696,meng_4_162,-18,-2.898143575,70,132.7418625,4,meng_4_162,10,4,4,4,162
