1st,2nd,3rd,4th,speaker,syl,tone,prev,pitch_con
2.27502231187338e-05,-0.0014040222855141262,0.012227815835794652,0.08899764506811167,s2,2,4,1,_LLAD3_s2_2
-1.9805935470135292e-05,0.0007652939489346937,0.004293562631086987,-0.16499408378676597,s2,1,1,none,_LLAD3_s2_1
7.036857362099516e-05,-0.0031360309808444718,0.01028654811488897,0.3217494406420483,s2,1,3,none,_HLCB4_s2_1
-2.9926992887132335e-05,0.001055905787213843,0.007708175511684337,-0.23656422646733075,s2,1,1,none,_LLAC3_s2_1
5.420378723094542e-05,-0.0017325633465589485,-0.021442132745319357,0.4877254758092401,s2,2,3,1,_LLAC3_s2_2
4.999425269758383e-05,-0.0011774678476330746,-0.03034595723328441,0.48112737744376394,s2,1,3,none,_HHCA4_s2_1
-2.7082362776660494e-05,0.0005259425581945871,0.02500222234929321,-0.35809787962559186,s2,2,1,3,_HHCA4_s2_2
7.005170807792001e-06,-0.0005402036774891397,0.01052900030057549,-0.043435080900753605,s3,2,4,2,_HLBD4_s3_2
-4.647894720615208e-06,0.0003791220164048065,-0.008661127409559766,0.04826055387676227,s1,2,2,2,_HLBB3_s1_2
-1.4799517872756643e-05,0.0008455388582702348,-0.012198885889891787,0.029264592863047105,s1,1,2,none,_HLBB3_s1_1
1.5721783118112994e-05,-0.0003536230275651362,-0.006523275123798631,0.09924620344935824,s3,1,2,none,_HLBD4_s3_1
7.653926953992903e-06,6.00633668173724e-05,-0.010151486106770415,0.08325238502542903,s3,1,2,none,_HLBB3_s3_1
1.480537550860663e-05,-0.0003759463697584883,-0.004874248339289821,0.08732686948292695,s1,1,2,none,_HLBD4_s1_1
2.718810332504732e-05,-0.0018694296044395099,0.027166434447857678,-0.02785609165788681,s1,2,4,2,_HLBD4_s1_2
-1.5199880606839616e-05,0.0011401063601821364,-0.015186528683931106,-0.014379187109341449,s1,1,3,none,_LLCC2_s1_1
7.118309451922023e-07,-0.00040379465109709715,0.019479455419906592,-0.17979946634192323,s2,2,1,2,_LLBA4_s2_2
3.98824014386348e-06,0.00010694777958032429,-0.0020948920806275967,-0.029980788784900514,s2,1,2,none,_LLBA4_s2_1
1.131911358291416e-05,-0.0011254148281906772,0.022790565474277477,-0.08014303598205934,s3,2,4,2,_LHBD4_s3_2
-3.3114710922677656e-05,0.0011444674320254184,0.006625051194436828,-0.22471200019858306,s3,2,1,3,_LLCA1_s3_2
2.0780074428664875e-05,-0.0007891525132371829,-0.001515393829956673,0.12243078500831212,s3,1,3,none,_LLCA1_s3_1
2.2996223814826164e-05,-0.0005159060633132053,-0.0025083990265231046,0.035731296053293955,s3,1,2,none,_LHBD4_s3_1
-5.30337730462207e-05,0.002147076527675151,-0.00982029876294577,-0.14223140224932365,s2,2,1,4,_HLDA5_s2_2
2.619567016864055e-05,-0.00183957879935029,0.02374699642007737,0.022890181010224237,s2,1,4,none,_HLDA5_s2_1
1.106744363483815e-06,0.00010319415624397212,-0.007489970460321853,0.07559432389228728,s1,1,3,none,_LLCA1_s1_1
6.119801951166995e-06,-4.658150197813994e-05,-0.00045310779714090326,-0.022404365000575098,s1,1,2,none,_LHBD4_s1_1
1.746444628916237e-05,-0.0012125056087332778,0.017623504172554098,-0.01689796028462124,s1,2,4,2,_LHBD4_s1_2
-2.179556639431443e-05,0.000798693456872782,0.005111413555563175,-0.1738569198152801,s1,2,1,3,_LLCA1_s1_2
7.511418031609883e-06,0.00017767253538606984,-0.007829151399229482,0.011216840489385788,s3,1,3,none,_LLCC2_s3_1
7.684214403937806e-05,-0.003628793716341617,0.026489517796418362,0.17924754059203235,s3,2,3,3,_LLCC2_s3_2
-2.0006298392213677e-06,0.0006229981096585539,-0.020403929405110502,0.1343322077846798,s1,2,2,1,_HHAB3_s1_2
-1.0451682118822898e-05,0.00036172104228337224,-0.0013574023319989801,-0.01763218014224277,s1,1,1,none,_HHAB3_s1_1
-1.9053392963153186e-06,0.00037429922231683234,-0.008506342379120615,0.027614401621040462,s1,2,2,4,_LHDB2_s1_2
6.13452689075566e-06,-0.0007785628362165914,0.014071454437619643,-0.01694509246729666,s1,1,4,none,_LHDB2_s1_1
-1.1632296339854341e-05,0.0004642248304453223,-0.0008905270884041967,-0.04866524665558574,s3,2,1,4,_LHDA2_s3_2
1.5130747981495422e-06,-0.0004787898628502699,0.009432010478989398,-0.006203043923688433,s3,1,4,none,_LHDA2_s3_1
7.71247877642398e-08,-9.933452069344498e-05,0.0035239201252291897,-0.02386970907697918,s1,2,1,1,_LHAA5_s1_2
7.0060357553117536e-06,0.00016614603437002402,-0.005962385106895027,-0.010442725381822398,s3,1,2,none,_LHBB5_s3_1
1.3752537340960382e-05,-0.0009880670421495792,0.015554897604924742,-0.028816529643829518,s1,1,4,none,_LHDA2_s1_1
-4.251396139439474e-06,4.916766621827733e-05,0.007450732277654618,-0.10034042209843033,s1,2,1,4,_LHDA2_s1_2
-7.557293521106963e-07,-0.0002622182591223146,0.006673286978007001,-0.015346574187054431,s3,2,4,4,_HHDD5_s3_2
-7.035707311225514e-06,1.1486184756321661e-05,0.0014419346594804765,0.02473981066134305,s3,1,4,none,_HHDD5_s3_1
-2.5407655161367392e-06,-4.0900061917636225e-05,0.005545212667417469,-0.0547478927063735,s3,1,1,none,_LHAA5_s3_1
9.38595877664631e-07,-0.0001647601503993961,0.0046718358865212445,-0.0272514786284708,s3,2,1,1,_LHAA5_s3_2
2.9752226090981168e-05,-0.001536049834443897,0.012522373998789183,0.07557573962358957,s1,1,4,none,_HHDD5_s1_1
6.834705213184596e-06,-0.001058814079639011,0.025928196328381427,-0.11744527681437833,s1,2,4,4,_HHDD5_s1_2
-4.629162612722649e-06,0.00021929832951772746,-0.0021708664100866665,-0.002102404632128556,s1,2,1,1,_HHAA5_s1_2
-6.790522116010911e-07,2.6834518616695867e-06,-0.0003605495719058546,0.009637052601252735,s1,1,1,none,_HHAA5_s1_1
-9.223707782975818e-06,0.00024017961509768788,0.005444774017791636,-0.09361073212159367,s3,1,1,none,_LLAD5_s3_1
-2.663714433183809e-06,-0.0001766024957144427,0.0035222283691765267,0.020263401954271353,s3,2,4,1,_LLAD5_s3_2
1.6899403363996405e-05,-0.0003229928599319455,-0.01699024845691899,0.24334298435812532,s1,2,3,1,_LHAC3_s1_2
-1.42359937988877e-05,0.0005089072959482337,0.0017832396421732595,-0.0854249052545541,s1,1,1,none,_LHAC3_s1_1
5.78937983871586e-06,-0.00031379444206210616,0.00274098674097203,0.01468529865062937,s2,2,1,1,_LLAA3_s2_2
-2.310978168416095e-05,0.0010703404366313887,-0.0003839851942401128,-0.164820105612348,s2,1,1,none,_LLAA3_s2_1
-5.875614907089262e-06,0.00025457506576308,0.002006491904337811,-0.0689857049673877,s3,1,1,none,_LHAC3_s3_1
