1st,2nd,3rd,4th,speaker,pitch_con,syl,tone,prevsyl
-3.982200849976248e-05,0.0011447169112828903,0.014963750040940449,0.8145629295982022,s2,_LLCA2_s2_2,2,1,3
-1.4102711273783552e-05,0.00016538905447435588,0.019532576766656498,0.8098376373487275,s2,_LLCA3_s2_2,2,1,3
-2.8631896139750328e-05,0.0006956765745590229,0.01647802444809446,0.8010212584768949,s2,_LLCA4_s2_2,2,1,3
-2.5463139314905203e-05,0.0006477045345566234,0.016104976088475057,0.8175899348620727,s2,_LLCA5_s2_2,2,1,3
-4.511954292718781e-06,0.0008049988236589709,-0.01061820060113012,0.8064012139929378,s2,_LLCB1_s2_2,2,2,3
-3.393831423851568e-05,0.002029493064735107,-0.02072608734035882,0.8176003296421658,s2,_LLCB2_s2_2,2,2,3
-2.7055957824826903e-05,0.0018518618514851229,-0.020419145803209984,0.8137138609125344,s2,_LLCB3_s2_2,2,2,3
-9.658998668986162e-06,0.0010885260279919788,-0.012893411585324418,0.8104949945900632,s2,_LLCB4_s2_2,2,2,3
-6.172797873540219e-06,0.0006527817107097879,-0.006508595473974209,0.7887732445854113,s2,_LLCB5_s2_2,2,2,3
6.123601973977315e-05,-0.002718028230263294,0.01006661993931958,1.3434118058408828,s2,_LLCC1_s2_2,2,3,3
7.081548672711513e-05,-0.0035532639949821506,0.02733889233768915,1.2581714542623195,s2,_LLCC2_s2_2,2,3,3
5.311664662492731e-05,-0.0023758853931248264,0.006546460327018502,1.2298810387660573,s2,_LLCC3_s2_2,2,3,3
5.670631687473192e-05,-0.002272466749666245,0.0004979924947558138,1.309087377712201,s2,_LLCC4_s2_2,2,3,3
5.536459074514073e-05,-0.0028964013575528726,0.02681188454936348,1.18183309375116,s2,_LLCC5_s2_2,2,3,3
-1.1356993344805518e-05,-0.0006946183825541415,0.04120681091118502,0.7888630877229075,s2,_LLCD1_s2_2,2,4,3
-4.159311976741533e-05,0.0008463006966421423,0.021894145182352543,0.7646755852342623,s2,_LLCD2_s2_2,2,4,3
-1.1857419683503724e-05,-0.0004448121343187426,0.035125775051427915,0.7616935883322765,s2,_LLCD3_s2_2,2,4,3
1.130303056001428e-05,-0.0012479205965881374,0.036804766377894725,0.8435183269639767,s2,_LLCD4_s2_2,2,4,3
-1.9498080291726893e-05,-0.00016877725732389892,0.031270931593062656,0.7687633335072116,s2,_LLCD5_s2_2,2,4,3
-2.721394689703036e-05,0.0010272906382758989,0.0011903690744170302,1.1382128235298998,s2,_LLDA1_s2_2,2,1,4
-4.8217147956029646e-05,0.0023100632625998306,-0.018799072037980678,1.1374184312570654,s2,_LLDA2_s2_2,2,1,4
-1.4857604179782302e-05,0.00026275614317949637,0.012132542131122543,1.122725941600488,s2,_LLDA3_s2_2,2,1,4
-4.206407888856515e-05,0.0018068857889507956,-0.009195396778757548,1.120872908285245,s2,_LLDA4_s2_2,2,1,4
-4.2205358102939114e-05,0.0018126725152930493,-0.008029278425487492,1.1371777568950063,s2,_LLDA5_s2_2,2,1,4
-6.034134144315651e-06,0.0009179590403839929,-0.02232555868262614,1.143358476420307,s2,_LLDB1_s2_2,2,2,4
-4.5633518070135275e-06,0.0006545121967340453,-0.0171955749552123,1.1082924053340124,s2,_LLDB2_s2_2,2,2,4
-9.877287890024788e-06,0.0010207837463887446,-0.020309655197006816,1.0668910819170732,s2,_LLDB3_s2_2,2,2,4
