1st,2nd,3rd,pitch,pitch_con,tone,sort,duration,1st_norm,2nd_norm,3rd_norm,pitch,pitch_con,slope,height,strength,duration_raw,tone,prev_tone,this_tone,tone,sort
-1.334364764,0.074799914,-5.786117172,119.1163668,zhong_4_196,4,196,109.09091,-1.732368422,0.089018081,-6.312127877,119.1163668,zhong_4_196,-5,-2.344808115,15,112.5387297,4,1,4,4,196
-15.45811173,42.11760467,-34.39034935,122.84576,zhong_2_198,2,198,177.27272,-86.11566647,132.3571724,-60.96470771,122.84576,zhong_2_198,-7,-2.28299463,40,193.5581661,2,empty,2,2,198
-4.690381523,21.4839495,-29.99222383,117.4681526,zhong_2_199,2,199,190.90909,-32.63532882,78.30100529,-57.25788158,117.4681526,zhong_2_199,28,-3.725245336,21,212.567469,2,2,2,2,199
17.99402018,-43.14449065,19.22239308,111.1920661,zhong_3_201,3,201,81.81819,9.855480577,-28.88185489,15.7274141,111.1920661,zhong_3_201,-1,11.16602004,8,99.99949523,3,empty,3,3,201
180.9075664,-197.5843592,60.10129912,125.632963,zhong_4_203,4,203,54.54546,29.35841177,-58.78544094,32.78253007,125.632963,zhong_4_203,-100,2.841009885,60,57.69201648,4,3,4,4,203
-37.31452046,57.40390318,-19.40331535,125.4804362,zhong_3_204,3,204,136.36363,-94.6179481,106.7427852,-26.45906515,125.4804362,zhong_3_204,-20,-1.840445227,80,138.162438,3,4,3,3,204
-33.81052199,77.44894564,-63.58407559,125.5110235,zhong_3_207,3,207,109.09091,-43.89525429,92.17064758,-69.36444667,125.5110235,zhong_3_207,-22,-3.446871798,31,141.1264696,3,5,3,3,207
-3.366356126,2.136459772,11.09397531,104.2176841,zhong_2_209,2,209,163.63636,-14.75025366,5.720768061,18.15377738,104.2176841,zhong_2_209,-1,-2.196516926,80,166.8974595,2,3,2,2,209
-1.560434325,12.81291976,-30.43348836,116.0948565,zhong_3_210,3,210,381.81819,-86.8591027,186.7933175,-116.2005944,116.0948565,zhong_3_210,9,-4.206638506,30,386.4319956,3,2,3,3,210
-7.85438113,25.68711104,-9.576087441,101.7855156,zhong_2_211,2,211,204.54545,-67.21735845,107.4718958,-19.58745115,101.7855156,zhong_2_211,-100,14.80830995,11,213.5649758,2,3,2,2,211
-62.69563818,43.62748486,-25.97526942,109.9808993,zhong_3_213,3,213,68.18182,-19.87206948,20.28137317,-17.71041144,109.9808993,zhong_3_213,18,-2.933075566,80,122.4289945,3,empty,3,3,213
-1.040241059,8.065736294,-10.79564758,103.8730427,zhong_2_215,2,215,381.81818,-57.90336476,117.5864354,-41.21974512,103.8730427,zhong_2_215,14,-0.860283124,30,387.531453,2,5,2,2,215
0.173110966,-1.934894954,4.665727633,121.6880996,zhong_1_216,1,216,313.63636,5.340769018,-19.03312947,14.63341832,121.6880996,zhong_1_216,-1,-0.774104126,30,316.0096589,1,2,1,1,216
-18.16040959,25.53114212,-0.892855615,122.6218933,zhong_2_217,2,217,122.72727,-33.56980824,38.45496235,-1.095777322,122.6218933,zhong_2_217,-27,-0.892816717,52,130.1419352,2,1,2,2,217
10.82303856,12.53295345,-36.01280578,114.6240471,zhong_3_219,3,219,68.18182,3.430480658,5.826269995,-24.55418641,114.6240471,zhong_3_219,24,-3.978118396,80,89.28404462,3,empty,3,3,219
5.600472083,-7.998703045,5.688776577,135.4889498,zhong_4_221,4,221,136.36364,14.20104793,-14.87362216,7.757422812,135.4889498,zhong_4_221,4,1.775689151,50,192.3416545,4,5,4,4,221
11.42388772,-50.36719519,40.22151685,140.9416198,zhong_4_222,4,222,231.81818,142.3168758,-270.6716377,93.24078833,140.9416198,zhong_4_222,35,-14.48839372,10,268.9016212,4,4,4,4,222
