time,pitch,pitch_con,duration,artist,role_type,shengqiang,tone,word
2,398.1813049316406,2_6_25,0.7693206030263724,Chen Junjie,J,X,2,chao2
3,400.488037109375,2_6_25,0.7693206030263724,Chen Junjie,J,X,2,chao2
4,401.6463928222656,2_6_25,0.7693206030263724,Chen Junjie,J,X,2,chao2
5,401.8784484863281,2_6_25,0.7693206030263724,Chen Junjie,J,X,2,chao2
6,401.8784484863281,2_6_25,0.7693206030263724,Chen Junjie,J,X,2,chao2
7,401.6463928222656,2_6_25,0.7693206030263724,Chen Junjie,J,X,2,chao2
8,401.6463928222656,2_6_25,0.7693206030263724,Chen Junjie,J,X,2,chao2
9,401.4144287109375,2_6_25,0.7693206030263724,Chen Junjie,J,X,2,chao2
10,401.1826171875,2_6_25,0.7693206030263724,Chen Junjie,J,X,2,chao2
11,401.1826171875,2_6_25,0.7693206030263724,Chen Junjie,J,X,2,chao2
12,402.343017578125,2_6_25,0.7693206030263724,Chen Junjie,J,X,2,chao2
13,403.7398681640625,2_6_25,0.7693206030263724,Chen Junjie,J,X,2,chao2
14,405.1416015625,2_6_25,0.7693206030263724,Chen Junjie,J,X,2,chao2
15,406.3134460449219,2_6_25,0.7693206030263724,Chen Junjie,J,X,2,chao2
16,407.72412109375,2_6_25,0.7693206030263724,Chen Junjie,J,X,2,chao2
17,409.6125793457031,2_6_25,0.7693206030263724,Chen Junjie,J,X,2,chao2
18,411.03472900390625,2_6_25,0.7693206030263724,Chen Junjie,J,X,2,chao2
19,412.22357177734375,2_6_25,0.7693206030263724,Chen Junjie,J,X,2,chao2
20,414.8512268066406,2_6_25,0.7693206030263724,Chen Junjie,J,X,2,chao2
21,422.83502197265625,2_6_25,0.7693206030263724,Chen Junjie,J,X,2,chao2
22,430.22625732421875,2_6_25,0.7693206030263724,Chen Junjie,J,X,2,chao2
23,437.7467346191406,2_6_25,0.7693206030263724,Chen Junjie,J,X,2,chao2
24,449.01519775390625,2_6_25,0.7693206030263724,Chen Junjie,J,X,2,chao2
25,461.90582275390625,2_6_25,0.7693206030263724,Chen Junjie,J,X,2,chao2
26,476.2657470703125,2_6_25,0.7693206030263724,Chen Junjie,J,X,2,chao2
27,488.24365234375,2_6_25,0.7693206030263724,Chen Junjie,J,X,2,chao2
28,496.2046813964844,2_6_25,0.7693206030263724,Chen Junjie,J,X,2,chao2
29,501.970458984375,2_6_25,0.7693206030263724,Chen Junjie,J,X,2,chao2
30,505.1701965332031,2_6_25,0.7693206030263724,Chen Junjie,J,X,2,chao2
1,451.8772888183594,4_6_26,0.9770696266284205,Chen Junjie,J,X,4,he4
2,451.6163635253906,4_6_26,0.9770696266284205,Chen Junjie,J,X,4,he4
3,450.8344421386719,4_6_26,0.9770696266284205,Chen Junjie,J,X,4,he4
4,449.2746276855469,4_6_26,0.9770696266284205,Chen Junjie,J,X,4,he4
5,451.3555603027344,4_6_26,0.9770696266284205,Chen Junjie,J,X,4,he4
6,453.1842956542969,4_6_26,0.9770696266284205,Chen Junjie,J,X,4,he4
7,452.922607421875,4_6_26,0.9770696266284205,Chen Junjie,J,X,4,he4
8,453.70819091796875,4_6_26,0.9770696266284205,Chen Junjie,J,X,4,he4
9,454.232666015625,4_6_26,0.9770696266284205,Chen Junjie,J,X,4,he4
10,456.07305908203125,4_6_26,0.9770696266284205,Chen Junjie,J,X,4,he4
11,458.1855163574219,4_6_26,0.9770696266284205,Chen Junjie,J,X,4,he4
12,456.07305908203125,4_6_26,0.9770696266284205,Chen Junjie,J,X,4,he4
13,447.2032470703125,4_6_26,0.9770696266284205,Chen Junjie,J,X,4,he4
14,434.47186279296875,4_6_26,0.9770696266284205,Chen Junjie,J,X,4,he4
15,450.8344421386719,4_6_26,0.9770696266284205,Chen Junjie,J,X,4,he4
16,452.399658203125,4_6_26,0.9770696266284205,Chen Junjie,J,X,4,he4
17,448.7558898925781,4_6_26,0.9770696266284205,Chen Junjie,J,X,4,he4
18,451.3555603027344,4_6_26,0.9770696266284205,Chen Junjie,J,X,4,he4
19,449.5342102050781,4_6_26,0.9770696266284205,Chen Junjie,J,X,4,he4
20,357.8249816894531,4_6_26,0.9770696266284205,Chen Junjie,J,X,4,he4
21,365.5549621582031,4_6_26,0.9770696266284205,Chen Junjie,J,X,4,he4
22,372.8053283691406,4_6_26,0.9770696266284205,Chen Junjie,J,X,4,he4
23,382.6230163574219,4_6_26,0.9770696266284205,Chen Junjie,J,X,4,he4
24,387.7403564453125,4_6_26,0.9770696266284205,Chen Junjie,J,X,4,he4
25,391.3406066894531,4_6_26,0.9770696266284205,Chen Junjie,J,X,4,he4
26,394.29034423828125,4_6_26,0.9770696266284205,Chen Junjie,J,X,4,he4
27,394.5181579589844,4_6_26,0.9770696266284205,Chen Junjie,J,X,4,he4
28,394.9742126464844,4_6_26,0.9770696266284205,Chen Junjie,J,X,4,he4
29,400.2567443847656,4_6_26,0.9770696266284205,Chen Junjie,J,X,4,he4
30,402.11065673828125,4_6_26,0.9770696266284205,Chen Junjie,J,X,4,he4
1,397.49188232421875,1_6_28,0.6433468442407246,Chen Junjie,J,X,1,tian1
2,394.7461242675781,1_6_28,0.6433468442407246,Chen Junjie,J,X,1,tian1
3,393.1531982421875,1_6_28,0.6433468442407246,Chen Junjie,J,X,1,tian1
4,391.7929382324219,1_6_28,0.6433468442407246,Chen Junjie,J,X,1,tian1
5,389.7613830566406,1_6_28,0.6433468442407246,Chen Junjie,J,X,1,tian1
6,387.7403564453125,1_6_28,0.6433468442407246,Chen Junjie,J,X,1,tian1
