"Syllable1","Syllable2","time","f0_norm_bk","speaker","pitch_con","syl","tone","prev"
"1","1",8,-0.0583575384461592,"s2","_HHAA3_s2_1","1","1","none"
"1","1",9,-0.0486755954190543,"s2","_HHAA3_s2_1","1","1","none"
"1","1",10,-0.0385894135055207,"s2","_HHAA3_s2_1","1","1","none"
"1","1",11,-0.0287050674599036,"s2","_HHAA3_s2_1","1","1","none"
"1","1",12,-0.0189384317120385,"s2","_HHAA3_s2_1","1","1","none"
"1","1",13,-0.0107790657044522,"s2","_HHAA3_s2_1","1","1","none"
"1","1",14,-0.00297285965089245,"s2","_HHAA3_s2_1","1","1","none"
"1","1",15,0.00363172613292595,"s2","_HHAA3_s2_1","1","1","none"
"1","1",16,0.00981077746351589,"s2","_HHAA3_s2_1","1","1","none"
"1","1",17,0.0153565233383752,"s2","_HHAA3_s2_1","1","1","none"
"1","1",18,0.0209176877590045,"s2","_HHAA3_s2_1","1","1","none"
"1","1",19,0.026489892287469,"s2","_HHAA3_s2_1","1","1","none"
"1","1",20,0.0327660562683816,"s2","_HHAA3_s2_1","1","1","none"
"1","1",21,0.0392734945117901,"s2","_HHAA3_s2_1","1","1","none"
"1","1",22,0.0462642818327801,"s2","_HHAA3_s2_1","1","1","none"
"1","1",23,0.0532684377490849,"s2","_HHAA3_s2_1","1","1","none"
"1","1",24,0.0600680321507985,"s2","_HHAA3_s2_1","1","1","none"
"1","1",25,0.0665217925508994,"s2","_HHAA3_s2_1","1","1","none"
"1","1",26,0.0720777785712172,"s2","_HHAA3_s2_1","1","1","none"
"1","1",27,0.0768131460041772,"s2","_HHAA3_s2_1","1","1","none"
"1","1",28,0.0805568413740347,"s2","_HHAA3_s2_1","1","1","none"
"1","1",29,0.0833024717034907,"s2","_HHAA3_s2_1","1","1","none"
"1","1",30,0.0854565475623279,"s2","_HHAA3_s2_1","1","1","none"
"1","1",1,0.0175312191572081,"s3","_HHAA3_s3_1","1","1","none"
"1","1",2,0.0130309850786534,"s3","_HHAA3_s3_1","1","1","none"
"1","1",3,0.00893927312128628,"s3","_HHAA3_s3_1","1","1","none"
"1","1",4,0.00555984736548676,"s3","_HHAA3_s3_1","1","1","none"
"1","1",5,0.00352578704369289,"s3","_HHAA3_s3_1","1","1","none"
"1","1",6,0.00190729164350101,"s3","_HHAA3_s3_1","1","1","none"
"1","1",7,-0.000517594553767653,"s3","_HHAA3_s3_1","1","1","none"
"1","1",8,-0.0021781424529228,"s3","_HHAA3_s3_1","1","1","none"
"1","1",9,-0.00293661439775694,"s3","_HHAA3_s3_1","1","1","none"
"1","1",10,-0.00248682491818308,"s3","_HHAA3_s3_1","1","1","none"
"1","1",11,-0.00168449779070579,"s3","_HHAA3_s3_1","1","1","none"
"1","1",12,-0.000479043943653945,"s3","_HHAA3_s3_1","1","1","none"
"1","1",13,0.000566420700059966,"s3","_HHAA3_s3_1","1","1","none"
"1","1",14,0.00148243253197644,"s3","_HHAA3_s3_1","1","1","none"
"1","1",15,0.00183166057398854,"s3","_HHAA3_s3_1","1","1","none"
"1","1",16,0.00193967984230681,"s3","_HHAA3_s3_1","1","1","none"
"1","1",17,0.00156368933981388,"s3","_HHAA3_s3_1","1","1","none"
