"Syllable1","Syllable2","time","f0_norm","speaker","pitch_con","syl","tone","prev"
"2","3",19,-7.47618376333334,"s2","_HLBC5_s2_1","1","2","none"
"2","3",20,-5.59011526333335,"s2","_HLBC5_s2_1","1","2","none"
"2","3",21,-3.40275826333334,"s2","_HLBC5_s2_1","1","2","none"
"2","3",22,-0.991765863333342,"s2","_HLBC5_s2_1","1","2","none"
"2","3",23,1.41670493666666,"s2","_HLBC5_s2_1","1","2","none"
"2","3",24,3.72003473666666,"s2","_HLBC5_s2_1","1","2","none"
"2","3",25,5.57204473666667,"s2","_HLBC5_s2_1","1","2","none"
"2","3",26,7.13825783666667,"s2","_HLBC5_s2_1","1","2","none"
"2","3",27,8.16070823666666,"s2","_HLBC5_s2_1","1","2","none"
"2","3",28,8.79177083666664,"s2","_HLBC5_s2_1","1","2","none"
"2","3",29,9.16502553666666,"s2","_HLBC5_s2_1","1","2","none"
"2","3",30,9.14317543666667,"s2","_HLBC5_s2_1","1","2","none"
"2","3",1,7.50437930666666,"s3","_HLBC5_s3_1","1","2","none"
"2","3",2,7.22141040666666,"s3","_HLBC5_s3_1","1","2","none"
"2","3",3,6.88089520666666,"s3","_HLBC5_s3_1","1","2","none"
"2","3",4,6.47106270666666,"s3","_HLBC5_s3_1","1","2","none"
"2","3",5,6.08772150666665,"s3","_HLBC5_s3_1","1","2","none"
"2","3",6,5.51884050666666,"s3","_HLBC5_s3_1","1","2","none"
"2","3",7,4.61648970666666,"s3","_HLBC5_s3_1","1","2","none"
"2","3",8,3.48217950666665,"s3","_HLBC5_s3_1","1","2","none"
"2","3",9,2.24240300666666,"s3","_HLBC5_s3_1","1","2","none"
"2","3",10,0.858947906666657,"s3","_HLBC5_s3_1","1","2","none"
"2","3",11,-0.541034893333347,"s3","_HLBC5_s3_1","1","2","none"
"2","3",12,-1.92587609333334,"s3","_HLBC5_s3_1","1","2","none"
"2","3",13,-3.20946359333334,"s3","_HLBC5_s3_1","1","2","none"
"2","3",14,-4.28575979333334,"s3","_HLBC5_s3_1","1","2","none"
"2","3",15,-5.20504779333334,"s3","_HLBC5_s3_1","1","2","none"
"2","3",16,-5.73860579333333,"s3","_HLBC5_s3_1","1","2","none"
"2","3",17,-6.05858499333334,"s3","_HLBC5_s3_1","1","2","none"
"2","3",18,-6.19373619333334,"s3","_HLBC5_s3_1","1","2","none"
"2","3",19,-5.91256719333335,"s3","_HLBC5_s3_1","1","2","none"
"2","3",20,-5.46245449333334,"s3","_HLBC5_s3_1","1","2","none"
"2","3",21,-4.80562599333334,"s3","_HLBC5_s3_1","1","2","none"
"2","3",22,-3.89278669333333,"s3","_HLBC5_s3_1","1","2","none"
"2","3",23,-2.89344999333333,"s3","_HLBC5_s3_1","1","2","none"
"2","3",24,-1.78836459333334,"s3","_HLBC5_s3_1","1","2","none"
"2","3",25,-0.720158093333339,"s3","_HLBC5_s3_1","1","2","none"
"2","3",26,0.278181206666659,"s3","_HLBC5_s3_1","1","2","none"
"2","3",27,1.10117500666667,"s3","_HLBC5_s3_1","1","2","none"
"2","3",28,1.71499240666665,"s3","_HLBC5_s3_1","1","2","none"
"2","3",29,2.19903360666666,"s3","_HLBC5_s3_1","1","2","none"
"2","3",30,2.45580420666666,"s3","_HLBC5_s3_1","1","2","none"
"2","4",1,9.77811690333333,"s1","_HLBD1_s1_1","1","2","none"
"2","4",2,9.09093520333333,"s1","_HLBD1_s1_1","1","2","none"
"2","4",3,8.39604160333333,"s1","_HLBD1_s1_1","1","2","none"
"2","4",4,7.70497450333333,"s1","_HLBD1_s1_1","1","2","none"
"2","4",5,7.14090050333333,"s1","_HLBD1_s1_1","1","2","none"
"2","4",6,6.22175310333333,"s1","_HLBD1_s1_1","1","2","none"
"2","4",7,5.07898940333334,"s1","_HLBD1_s1_1","1","2","none"
"2","4",8,3.93384200333334,"s1","_HLBD1_s1_1","1","2","none"
"2","4",9,2.78812200333333,"s1","_HLBD1_s1_1","1","2","none"
"2","4",10,1.64143190333333,"s1","_HLBD1_s1_1","1","2","none"
"2","4",11,0.492328803333336,"s1","_HLBD1_s1_1","1","2","none"
"2","4",12,-0.66707189666667,"s1","_HLBD1_s1_1","1","2","none"
"2","4",13,-1.79724039666667,"s1","_HLBD1_s1_1","1","2","none"
"2","4",14,-2.85331699666666,"s1","_HLBD1_s1_1","1","2","none"
"2","4",15,-3.71934359666666,"s1","_HLBD1_s1_1","1","2","none"
"2","4",16,-4.43640639666667,"s1","_HLBD1_s1_1","1","2","none"
"2","4",17,-4.96865499666667,"s1","_HLBD1_s1_1","1","2","none"
"2","4",18,-5.19369439666667,"s1","_HLBD1_s1_1","1","2","none"
"2","4",19,-5.27356119666666,"s1","_HLBD1_s1_1","1","2","none"
"2","4",20,-5.21300049666667,"s1","_HLBD1_s1_1","1","2","none"
"2","4",21,-4.94926339666667,"s1","_HLBD1_s1_1","1","2","none"
"2","4",22,-4.59808469666666,"s1","_HLBD1_s1_1","1","2","none"
"2","4",23,-4.16418919666667,"s1","_HLBD1_s1_1","1","2","none"
"2","4",24,-3.63892189666667,"s1","_HLBD1_s1_1","1","2","none"
"2","4",25,-3.10002129666667,"s1","_HLBD1_s1_1","1","2","none"
"2","4",26,-2.55394919666666,"s1","_HLBD1_s1_1","1","2","none"
"2","4",27,-2.01728729666667,"s1","_HLBD1_s1_1","1","2","none"
