"","Syllable1","Syllable2","Normtime","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","speaker","pitch_con","syl","tone","prevsyl"
"1563","3","1","_LLCA3",78.64977529,79.53802787,80.60665175,82.00923398,83.73661231,85.61748891,87.77532911,89.93799222,92.10780681,94.16138551,96.14935097,97.90009444,99.51888415,100.97952,102.2888504,103.5385126,104.6631892,105.7244501,106.7240266,107.5831298,108.3616751,108.9226878,109.3213073,109.5918113,109.6315526,109.6585298,109.7143255,109.6926786,109.621742,109.4727858,"s2","_LLCA3_s2_2","2","1","3"
"1564","3","1","_LLCA4",77.77964903,78.58800352,79.59230529,80.96453151,82.63203497,84.44238659,86.55163305,88.74072144,91.05468385,93.35413584,95.65200426,97.98840814,100.2707133,102.48204,104.4724626,106.3442341,107.8304676,109.0436306,109.9550187,110.488686,110.8778389,110.9593905,110.8928332,110.6882078,110.3063992,110.0072733,110.1168759,109.9927564,109.6850374,109.1383561,"s2","_LLCA4_s2_2","2","1","3"
"1565","3","1","_LLCA5",79.29641847,80.04413043,80.92396968,82.27884663,83.84209375,85.6757328,87.72916125,89.89946665,92.25418815,94.6297408,96.93679802,99.20792938,101.3974593,103.4717339,105.4410143,107.1304769,108.7220884,109.8881749,110.9659762,111.7169571,112.3346459,112.7471058,113.0202188,113.2047499,113.2888114,113.3505784,113.3802843,113.411614,113.4474655,113.4660432,"s2","_LLCA5_s2_2","2","1","3"
"1566","3","2","_LLCB1",72.79497543,72.6927457,72.6191529,72.58896971,72.59493336,72.61448674,72.65194416,72.71407088,72.79334681,72.92601501,73.08984158,73.30237825,73.6242098,74.01237767,74.56441966,75.30564674,76.18539249,77.51766,79.05469762,80.91729522,83.17190671,85.6073161,88.35912255,91.15762413,93.99212118,94.21067949,94.78394423,96.1718427,98.24334206,100.1799439,"s2","_LLCB1_s2_2","2","2","3"
"1567","3","2","_LLCB2",72.20916756,72.12847785,72.06707303,72.04101515,72.0420144,72.05852626,72.14275042,72.28062973,72.49508809,72.87610141,73.34415982,74.08042698,74.9866983,76.08392218,77.53481527,79.13208909,81.05875018,83.15033987,85.388202,87.78328036,90.17989275,92.51400445,94.68552521,96.74357562,98.40225705,99.62920722,99.88301706,100.3665676,100.9752512,101.9110534,"s2","_LLCB2_s2_2","2","2","3"
"1568","3","2","_LLCB3",71.60622931,71.58652681,71.57382487,71.57327375,71.57920373,71.58948944,71.61821125,71.68945705,71.81019204,72.06405975,72.38996829,72.90094477,73.6151036,74.48970799,75.75751401,77.19985103,78.99091937,81.1261437,83.45006915,86.13589229,88.87988886,91.71624361,94.44418071,97.08499416,99.3401146,100.6579623,100.9728273,101.8073208,102.8416452,104.2691015,"s2","_LLCB3_s2_2","2","2","3"
"1569","3","2","_LLCB4",72.7545709,72.68609607,72.64294742,72.64483644,72.67004219,72.70830472,72.79249994,72.90889404,73.06631414,73.31401996,73.60893207,74.03331914,74.55587497,75.16922235,76.04582993,77.05021095,78.34592085,79.90894961,81.65070012,83.88126704,86.26884561,88.94703987,91.81692995,94.77848899,97.76686613,99.61921427,99.76020558,100.9202826,102.5144247,104.9265306,"s2","_LLCB4_s2_2","2","2","3"
"1570","3","2","_LLCB5",72.14137196,72.12768979,72.12182729,72.13317379,72.1741467,72.23290632,72.37313261,72.54729396,72.80703812,73.12974298,73.50148859,73.95697596,74.4391976,74.98543434,75.59079797,76.25542422,77.07778025,77.97289406,79.12310843,80.43421895,81.95285965,83.73196396,85.61035906,87.67274105,88.96995551,88.98641821,89.76138363,90.88285038,92.7201091,93.98602807,"s2","_LLCB5_s2_2","2","2","3"
"1571","3","3","_LLCC1",126.4487718,126.1173224,125.785873,125.1083422,124.3534966,123.2084048,121.8387924,120.1624315,118.1144437,115.9057827,113.2617705,110.5787527,107.4862394,104.3937261,101.2834644,98.17132571,95.2338061,92.36360388,89.73667502,87.31768959,85.10490747,83.2642622,81.70044522,81.45134344,81.20224166,80.47757881,79.74875711,78.72922306,77.64093111,77.23403843,"s2","_LLCC1_s2_2","2","3","3"
"1572","3","3","_LLCC2",121.5126972,121.6456477,121.7785983,121.6614084,121.5401006,121.115796,120.6813483,119.6885753,118.6672893,117.0084756,115.3054998,112.8445017,110.3167109,107.1921264,104.0033064,100.6465923,97.26840997,93.88282505,90.49613823,87.41273409,84.38108049,81.7924366,79.28940793,78.59008655,78.28176057,77.30010345,76.15601611,74.57999171,72.88877058,72.50530031,"s2","_LLCC2_s2_2","2","3","3"
"1573","3","3","_LLCC3",115.2798582,114.8885018,114.4811221,113.7190944,112.9091466,111.5928425,110.2034444,108.3235034,106.3614972,104.0069445,101.5553257,98.75167922,95.92949498,93.05437485,90.22689332,87.50920771,84.84173396,82.26924458,79.81085194,77.53163398,75.37883651,73.39207185,71.54502816,69.8521015,68.91493922,68.67896117,68.19485862,67.51734533,66.5947884,65.51236888,"s2","_LLCC3_s2_2","2","3","3"
"1574","3","3","_LLCC4",121.2368729,120.8080112,120.2736265,119.4144304,118.2883798,116.8850526,115.0120502,112.9702604,110.2091275,107.356591,104.2392133,101.0685939,97.83824104,94.70136404,91.60147641,88.87825799,86.24996189,83.9280052,81.83346447,80.01451174,78.51335237,77.15013026,76.12868494,75.18362959,74.4789123,74.04465575,73.96461411,73.7404769,73.44795926,72.99836994,"s2","_LLCC4_s2_2","2","3","3"
