"Syllable1","Syllable2","time","f0_norm_ct","speaker","pitch_con","syl","tone","prev"
"1","1",17,17.7743123645473,"s2","_HHAA3_s2_1","1","1","none"
"1","1",18,23.7656611252319,"s2","_HHAA3_s2_1","1","1","none"
"1","1",19,29.7492716741083,"s2","_HHAA3_s2_1","1","1","none"
"1","1",20,36.4654524029179,"s2","_HHAA3_s2_1","1","1","none"
"1","1",21,43.4031817712266,"s2","_HHAA3_s2_1","1","1","none"
"1","1",22,50.8270339552464,"s2","_HHAA3_s2_1","1","1","none"
"1","1",23,58.2350173565667,"s2","_HHAA3_s2_1","1","1","none"
"1","1",24,65.3980992660802,"s2","_HHAA3_s2_1","1","1","none"
"1","1",25,72.1710590653629,"s2","_HHAA3_s2_1","1","1","none"
"1","1",26,77.9818660589299,"s2","_HHAA3_s2_1","1","1","none"
"1","1",27,82.9199267791671,"s2","_HHAA3_s2_1","1","1","none"
"1","1",28,86.8144821897677,"s2","_HHAA3_s2_1","1","1","none"
"1","1",29,89.6655089790502,"s2","_HHAA3_s2_1","1","1","none"
"1","1",30,91.8991773948276,"s2","_HHAA3_s2_1","1","1","none"
"1","1",1,22.6190292551532,"s3","_HHAA3_s3_1","1","1","none"
"1","1",2,16.8433490359516,"s3","_HHAA3_s3_1","1","1","none"
"1","1",3,11.5758195017277,"s3","_HHAA3_s3_1","1","1","none"
"1","1",4,7.21359237839215,"s3","_HHAA3_s3_1","1","1","none"
"1","1",5,4.58287473412315,"s3","_HHAA3_s3_1","1","1","none"
"1","1",6,2.48686589326621,"s3","_HHAA3_s3_1","1","1","none"
"1","1",7,-0.658030888444046,"s3","_HHAA3_s3_1","1","1","none"
"1","1",8,-2.81481814296603,"s3","_HHAA3_s3_1","1","1","none"
"1","1",9,-3.80081460751171,"s3","_HHAA3_s3_1","1","1","none"
"1","1",10,-3.21603309299212,"s3","_HHAA3_s3_1","1","1","none"
"1","1",11,-2.17338182074195,"s3","_HHAA3_s3_1","1","1","none"
"1","1",12,-0.607990528771552,"s3","_HHAA3_s3_1","1","1","none"
"1","1",13,0.748536620384584,"s3","_HHAA3_s3_1","1","1","none"
"1","1",14,1.93625288964381,"s3","_HHAA3_s3_1","1","1","none"
"1","1",15,2.38886115616515,"s3","_HHAA3_s3_1","1","1","none"
"1","1",16,2.52883374176736,"s3","_HHAA3_s3_1","1","1","none"
"1","1",17,2.04157392133197,"s3","_HHAA3_s3_1","1","1","none"
"1","1",18,1.06478504409893,"s3","_HHAA3_s3_1","1","1","none"
"1","1",19,-0.182126220000328,"s3","_HHAA3_s3_1","1","1","none"
"1","1",20,-1.61016284824063,"s3","_HHAA3_s3_1","1","1","none"
"1","1",21,-2.92342096071616,"s3","_HHAA3_s3_1","1","1","none"
"1","1",22,-4.04521456591851,"s3","_HHAA3_s3_1","1","1","none"
"1","1",23,-4.83298371073965,"s3","_HHAA3_s3_1","1","1","none"
"1","1",24,-5.47689259674735,"s3","_HHAA3_s3_1","1","1","none"
"1","1",25,-5.89153568957045,"s3","_HHAA3_s3_1","1","1","none"
"1","1",26,-6.30042814958279,"s3","_HHAA3_s3_1","1","1","none"
"1","1",27,-6.70282499555151,"s3","_HHAA3_s3_1","1","1","none"
"1","1",28,-7.36325598810322,"s3","_HHAA3_s3_1","1","1","none"
"1","1",29,-8.15602236272321,"s3","_HHAA3_s3_1","1","1","none"
"1","1",30,-9.27443700268213,"s3","_HHAA3_s3_1","1","1","none"
"1","1",1,-9.18047129561683,"s1","_HHAA4_s1_1","1","1","none"
"1","1",2,-9.05149628659842,"s1","_HHAA4_s1_1","1","1","none"
"1","1",3,-8.63806573877741,"s1","_HHAA4_s1_1","1","1","none"
"1","1",4,-7.8772189107101,"s1","_HHAA4_s1_1","1","1","none"
"1","1",5,-7.3573205176383,"s1","_HHAA4_s1_1","1","1","none"
"1","1",6,-6.53349116251547,"s1","_HHAA4_s1_1","1","1","none"
"1","1",7,-5.09625826249862,"s1","_HHAA4_s1_1","1","1","none"
"1","1",8,-3.06863713688358,"s1","_HHAA4_s1_1","1","1","none"
"1","1",9,-0.874690617064971,"s1","_HHAA4_s1_1","1","1","none"
"1","1",10,1.37953653953559,"s1","_HHAA4_s1_1","1","1","none"
"1","1",11,3.62764377734902,"s1","_HHAA4_s1_1","1","1","none"
"1","1",12,5.81682409577888,"s1","_HHAA4_s1_1","1","1","none"
"1","1",13,7.69415228675098,"s1","_HHAA4_s1_1","1","1","none"
"1","1",14,8.9368135974878,"s1","_HHAA4_s1_1","1","1","none"
"1","1",15,9.71173391115758,"s1","_HHAA4_s1_1","1","1","none"
"1","1",16,9.62503740826128,"s1","_HHAA4_s1_1","1","1","none"
"1","1",17,9.08383416449988,"s1","_HHAA4_s1_1","1","1","none"
"1","1",18,8.08793534362258,"s1","_HHAA4_s1_1","1","1","none"
"1","1",19,6.52833224987035,"s1","_HHAA4_s1_1","1","1","none"
"1","1",20,4.93410773473829,"s1","_HHAA4_s1_1","1","1","none"
"1","1",21,3.33296116391534,"s1","_HHAA4_s1_1","1","1","none"
"1","1",22,1.98688213865944,"s1","_HHAA4_s1_1","1","1","none"
"1","1",23,0.752602519519769,"s1","_HHAA4_s1_1","1","1","none"
"1","1",24,-0.324854961018673,"s1","_HHAA4_s1_1","1","1","none"
"1","1",25,-1.327493583967,"s1","_HHAA4_s1_1","1","1","none"
"1","1",26,-2.3118835354087,"s1","_HHAA4_s1_1","1","1","none"
"1","1",27,-3.32210579391176,"s1","_HHAA4_s1_1","1","1","none"
"1","1",28,-4.42238564828222,"s1","_HHAA4_s1_1","1","1","none"
"1","1",29,-5.5564288725941,"s1","_HHAA4_s1_1","1","1","none"
"1","1",30,-6.55559460766085,"s1","_HHAA4_s1_1","1","1","none"
"1","1",1,-171.198149660668,"s2","_HHAA4_s2_1","1","1","none"
"1","1",2,-162.872694936076,"s2","_HHAA4_s2_1","1","1","none"
"1","1",3,-153.764024760694,"s2","_HHAA4_s2_1","1","1","none"
"1","1",4,-142.30510688501,"s2","_HHAA4_s2_1","1","1","none"
"1","1",5,-132.700370106644,"s2","_HHAA4_s2_1","1","1","none"
"1","1",6,-124.858741718941,"s2","_HHAA4_s2_1","1","1","none"
"1","1",7,-110.365051256064,"s2","_HHAA4_s2_1","1","1","none"
"1","1",8,-93.9189946237141,"s2","_HHAA4_s2_1","1","1","none"
"1","1",9,-76.5806994002342,"s2","_HHAA4_s2_1","1","1","none"
"1","1",10,-59.8640829475532,"s2","_HHAA4_s2_1","1","1","none"
"1","1",11,-44.5014020677875,"s2","_HHAA4_s2_1","1","1","none"
