"time","f0_norm","Syllable1","Syllable2","Normtime","speaker","pitch_con"
27,-2.50339372721487,"1","1","_HHAA2","s1","_HHAA2_s1_1"
28,-7.0267557496561,"1","1","_HHAA2","s1","_HHAA2_s1_1"
29,-11.7425362902786,"1","1","_HHAA2","s1","_HHAA2_s1_1"
30,-16.7444290422302,"1","1","_HHAA2","s1","_HHAA2_s1_1"
1,-1.46322430952546,"1","1","_HHAA2","s1","_HHAA2_s1_2"
2,-5.20546022892859,"1","1","_HHAA2","s1","_HHAA2_s1_2"
3,-8.46521780682997,"1","1","_HHAA2","s1","_HHAA2_s1_2"
4,-11.0983406897653,"1","1","_HHAA2","s1","_HHAA2_s1_2"
5,-12.7152642502811,"1","1","_HHAA2","s1","_HHAA2_s1_2"
6,-13.7888539042592,"1","1","_HHAA2","s1","_HHAA2_s1_2"
7,-13.9824553524586,"1","1","_HHAA2","s1","_HHAA2_s1_2"
8,-13.3471194752813,"1","1","_HHAA2","s1","_HHAA2_s1_2"
9,-12.25247793008,"1","1","_HHAA2","s1","_HHAA2_s1_2"
10,-10.3642985773542,"1","1","_HHAA2","s1","_HHAA2_s1_2"
11,-8.04638173820695,"1","1","_HHAA2","s1","_HHAA2_s1_2"
12,-5.46148712311492,"1","1","_HHAA2","s1","_HHAA2_s1_2"
13,-2.74363462343285,"1","1","_HHAA2","s1","_HHAA2_s1_2"
14,-0.0802882217128627,"1","1","_HHAA2","s1","_HHAA2_s1_2"
15,2.52813736955659,"1","1","_HHAA2","s1","_HHAA2_s1_2"
16,4.66933380538376,"1","1","_HHAA2","s1","_HHAA2_s1_2"
17,6.48968009068881,"1","1","_HHAA2","s1","_HHAA2_s1_2"
18,7.8244739210279,"1","1","_HHAA2","s1","_HHAA2_s1_2"
19,8.64439822555528,"1","1","_HHAA2","s1","_HHAA2_s1_2"
20,9.2027086904518,"1","1","_HHAA2","s1","_HHAA2_s1_2"
21,9.33227225188534,"1","1","_HHAA2","s1","_HHAA2_s1_2"
22,9.20947428009708,"1","1","_HHAA2","s1","_HHAA2_s1_2"
23,8.94432588427594,"1","1","_HHAA2","s1","_HHAA2_s1_2"
24,8.49624827781531,"1","1","_HHAA2","s1","_HHAA2_s1_2"
25,7.95822280047673,"1","1","_HHAA2","s1","_HHAA2_s1_2"
26,7.34838204042035,"1","1","_HHAA2","s1","_HHAA2_s1_2"
27,7.42414223734386,"1","1","_HHAA2","s1","_HHAA2_s1_2"
28,7.34677767776247,"1","1","_HHAA2","s1","_HHAA2_s1_2"
29,7.06093997979519,"1","1","_HHAA2","s1","_HHAA2_s1_2"
30,6.53498669869282,"1","1","_HHAA2","s1","_HHAA2_s1_2"
1,-117.149500603384,"1","1","_HHAA2","s2","_HHAA2_s2_1"
2,-110.877447574238,"1","1","_HHAA2","s2","_HHAA2_s2_1"
3,-104.188943504723,"1","1","_HHAA2","s2","_HHAA2_s2_1"
4,-96.1053814609718,"1","1","_HHAA2","s2","_HHAA2_s2_1"
5,-88.9937959284496,"1","1","_HHAA2","s2","_HHAA2_s2_1"
6,-82.958820979482,"1","1","_HHAA2","s2","_HHAA2_s2_1"
7,-71.8498214029119,"1","1","_HHAA2","s2","_HHAA2_s2_1"
8,-58.7066126087125,"1","1","_HHAA2","s2","_HHAA2_s2_1"
9,-45.327741553298,"1","1","_HHAA2","s2","_HHAA2_s2_1"
10,-32.278014544052,"1","1","_HHAA2","s2","_HHAA2_s2_1"
11,-20.4718488029096,"1","1","_HHAA2","s2","_HHAA2_s2_1"
12,-9.33450262229439,"1","1","_HHAA2","s2","_HHAA2_s2_1"
13,0.89545281943515,"1","1","_HHAA2","s2","_HHAA2_s2_1"
14,9.74550494928667,"1","1","_HHAA2","s2","_HHAA2_s2_1"
15,17.8338792500776,"1","1","_HHAA2","s2","_HHAA2_s2_1"
16,24.82907298992,"1","1","_HHAA2","s2","_HHAA2_s2_1"
17,31.5775753813357,"1","1","_HHAA2","s2","_HHAA2_s2_1"
18,37.7146895179949,"1","1","_HHAA2","s2","_HHAA2_s2_1"
19,43.3831927814122,"1","1","_HHAA2","s2","_HHAA2_s2_1"
20,48.216189391311,"1","1","_HHAA2","s2","_HHAA2_s2_1"
21,52.4085608830289,"1","1","_HHAA2","s2","_HHAA2_s2_1"
22,56.1527087669256,"1","1","_HHAA2","s2","_HHAA2_s2_1"
23,58.9155582036728,"1","1","_HHAA2","s2","_HHAA2_s2_1"
24,61.3939146463881,"1","1","_HHAA2","s2","_HHAA2_s2_1"
25,62.7210952346541,"1","1","_HHAA2","s2","_HHAA2_s2_1"
26,63.9727960158425,"1","1","_HHAA2","s2","_HHAA2_s2_1"
27,65.0449939406026,"1","1","_HHAA2","s2","_HHAA2_s2_1"
28,66.2564007626318,"1","1","_HHAA2","s2","_HHAA2_s2_1"
29,67.5911966509198,"1","1","_HHAA2","s2","_HHAA2_s2_1"
30,69.5896493999858,"1","1","_HHAA2","s2","_HHAA2_s2_1"
1,-33.7995359280987,"1","1","_HHAA2","s2","_HHAA2_s2_2"
2,-29.4623696985623,"1","1","_HHAA2","s2","_HHAA2_s2_2"
3,-24.5848637962411,"1","1","_HHAA2","s2","_HHAA2_s2_2"
4,-19.1469931096869,"1","1","_HHAA2","s2","_HHAA2_s2_2"
5,-12.8255805836654,"1","1","_HHAA2","s2","_HHAA2_s2_2"
6,-6.51398796781882,"1","1","_HHAA2","s2","_HHAA2_s2_2"
7,-0.233182249449101,"1","1","_HHAA2","s2","_HHAA2_s2_2"
8,5.0263973179251,"1","1","_HHAA2","s2","_HHAA2_s2_2"
9,9.58587047877359,"1","1","_HHAA2","s2","_HHAA2_s2_2"
10,13.3394755448753,"1","1","_HHAA2","s2","_HHAA2_s2_2"
11,14.9579894653939,"1","1","_HHAA2","s2","_HHAA2_s2_2"
12,15.5392449478577,"1","1","_HHAA2","s2","_HHAA2_s2_2"
13,14.9127857603207,"1","1","_HHAA2","s2","_HHAA2_s2_2"
14,12.8374284686092,"1","1","_HHAA2","s2","_HHAA2_s2_2"
15,10.3086020197866,"1","1","_HHAA2","s2","_HHAA2_s2_2"
16,7.31062707667593,"1","1","_HHAA2","s2","_HHAA2_s2_2"
17,4.7531788900269,"1","1","_HHAA2","s2","_HHAA2_s2_2"
18,2.65903407361975,"1","1","_HHAA2","s2","_HHAA2_s2_2"
19,1.23689009704322,"1","1","_HHAA2","s2","_HHAA2_s2_2"
20,0.76389998672289,"1","1","_HHAA2","s2","_HHAA2_s2_2"
21,0.725843350692912,"1","1","_HHAA2","s2","_HHAA2_s2_2"
22,1.21088035398361,"1","1","_HHAA2","s2","_HHAA2_s2_2"
23,1.61835142212226,"1","1","_HHAA2","s2","_HHAA2_s2_2"
24,1.65384230481141,"1","1","_HHAA2","s2","_HHAA2_s2_2"
25,0.980922920776266,"1","1","_HHAA2","s2","_HHAA2_s2_2"
26,1.6449380058632,"1","1","_HHAA2","s2","_HHAA2_s2_2"
27,2.1861571065931,"1","1","_HHAA2","s2","_HHAA2_s2_2"
28,1.83817177007381,"1","1","_HHAA2","s2","_HHAA2_s2_2"
29,1.05378621573664,"1","1","_HHAA2","s2","_HHAA2_s2_2"
30,0.422195755237908,"1","1","_HHAA2","s2","_HHAA2_s2_2"
1,-20.5346536366878,"1","1","_HHAA2","s3","_HHAA2_s3_1"
2,-19.5254377647636,"1","1","_HHAA2","s3","_HHAA2_s3_1"
3,-18.1423446872464,"1","1","_HHAA2","s3","_HHAA2_s3_1"
4,-16.1435308003217,"1","1","_HHAA2","s3","_HHAA2_s3_1"
5,-14.6826511392594,"1","1","_HHAA2","s3","_HHAA2_s3_1"
6,-13.1726969888455,"1","1","_HHAA2","s3","_HHAA2_s3_1"
7,-10.1994876047147,"1","1","_HHAA2","s3","_HHAA2_s3_1"
8,-7.02425124604906,"1","1","_HHAA2","s3","_HHAA2_s3_1"
9,-3.65621939131483,"1","1","_HHAA2","s3","_HHAA2_s3_1"
10,-0.700377659728701,"1","1","_HHAA2","s3","_HHAA2_s3_1"
11,2.03312226076559,"1","1","_HHAA2","s3","_HHAA2_s3_1"
12,4.30265052703089,"1","1","_HHAA2","s3","_HHAA2_s3_1"
13,6.09000691531082,"1","1","_HHAA2","s3","_HHAA2_s3_1"
14,7.59293898179635,"1","1","_HHAA2","s3","_HHAA2_s3_1"
