slope,height,strength,duration,tone,pitch_con,numPoints
4,-0.443577351,50,166.247425,1,meng_1_59,13
4,-0.443577351,50,166.247425,1,meng_1_59,13
4,-0.443577351,50,166.247425,1,meng_1_59,13
4,-0.443577351,50,166.247425,1,meng_1_59,13
4,-0.443577351,50,166.247425,1,meng_1_59,13
4,-0.443577351,50,166.247425,1,meng_1_59,13
4,-0.443577351,50,166.247425,1,meng_1_59,13
4,-0.443577351,50,166.247425,1,meng_1_59,13
4,-0.443577351,50,166.247425,1,meng_1_59,13
4,-0.443577351,50,166.247425,1,meng_1_59,13
4,-0.443577351,50,166.247425,1,meng_1_59,13
4,-0.443577351,50,166.247425,1,meng_1_59,13
4,-0.443577351,50,166.247425,1,meng_1_59,13
8,-1.022321893,50,149.2180198,4,meng_4_60,11
8,-1.022321893,50,149.2180198,4,meng_4_60,11
8,-1.022321893,50,149.2180198,4,meng_4_60,11
8,-1.022321893,50,149.2180198,4,meng_4_60,11
8,-1.022321893,50,149.2180198,4,meng_4_60,11
8,-1.022321893,50,149.2180198,4,meng_4_60,11
8,-1.022321893,50,149.2180198,4,meng_4_60,11
8,-1.022321893,50,149.2180198,4,meng_4_60,11
8,-1.022321893,50,149.2180198,4,meng_4_60,11
8,-1.022321893,50,149.2180198,4,meng_4_60,11
8,-1.022321893,50,149.2180198,4,meng_4_60,11
-3,-1.761319091,80,154.1633466,2,meng_2_61,10
-3,-1.761319091,80,154.1633466,2,meng_2_61,10
-3,-1.761319091,80,154.1633466,2,meng_2_61,10
-3,-1.761319091,80,154.1633466,2,meng_2_61,10
-3,-1.761319091,80,154.1633466,2,meng_2_61,10
-3,-1.761319091,80,154.1633466,2,meng_2_61,10
-3,-1.761319091,80,154.1633466,2,meng_2_61,10
-3,-1.761319091,80,154.1633466,2,meng_2_61,10
-3,-1.761319091,80,154.1633466,2,meng_2_61,10
-3,-1.761319091,80,154.1633466,2,meng_2_61,10
13,-0.934873626,30,112.718648,2,meng_2_63,9
13,-0.934873626,30,112.718648,2,meng_2_63,9
13,-0.934873626,30,112.718648,2,meng_2_63,9
13,-0.934873626,30,112.718648,2,meng_2_63,9
13,-0.934873626,30,112.718648,2,meng_2_63,9
13,-0.934873626,30,112.718648,2,meng_2_63,9
13,-0.934873626,30,112.718648,2,meng_2_63,9
13,-0.934873626,30,112.718648,2,meng_2_63,9
13,-0.934873626,30,112.718648,2,meng_2_63,9
-100,-20.48522217,9,115.2715212,3,meng_3_64,9
-100,-20.48522217,9,115.2715212,3,meng_3_64,9
-100,-20.48522217,9,115.2715212,3,meng_3_64,9
-100,-20.48522217,9,115.2715212,3,meng_3_64,9
-100,-20.48522217,9,115.2715212,3,meng_3_64,9
-100,-20.48522217,9,115.2715212,3,meng_3_64,9
-100,-20.48522217,9,115.2715212,3,meng_3_64,9
-100,-20.48522217,9,115.2715212,3,meng_3_64,9
-100,-20.48522217,9,115.2715212,3,meng_3_64,9
-85,3.59839629,24,154.2090783,3,meng_3_72,12
-85,3.59839629,24,154.2090783,3,meng_3_72,12
-85,3.59839629,24,154.2090783,3,meng_3_72,12
-85,3.59839629,24,154.2090783,3,meng_3_72,12
-85,3.59839629,24,154.2090783,3,meng_3_72,12
-85,3.59839629,24,154.2090783,3,meng_3_72,12
-85,3.59839629,24,154.2090783,3,meng_3_72,12
-85,3.59839629,24,154.2090783,3,meng_3_72,12
-85,3.59839629,24,154.2090783,3,meng_3_72,12
-85,3.59839629,24,154.2090783,3,meng_3_72,12
-85,3.59839629,24,154.2090783,3,meng_3_72,12
-85,3.59839629,24,154.2090783,3,meng_3_72,12
0,-1.233361051,0,158.0100735,4,meng_4_73,12
0,-1.233361051,0,158.0100735,4,meng_4_73,12
0,-1.233361051,0,158.0100735,4,meng_4_73,12
0,-1.233361051,0,158.0100735,4,meng_4_73,12
0,-1.233361051,0,158.0100735,4,meng_4_73,12
0,-1.233361051,0,158.0100735,4,meng_4_73,12
0,-1.233361051,0,158.0100735,4,meng_4_73,12
0,-1.233361051,0,158.0100735,4,meng_4_73,12
0,-1.233361051,0,158.0100735,4,meng_4_73,12
0,-1.233361051,0,158.0100735,4,meng_4_73,12
0,-1.233361051,0,158.0100735,4,meng_4_73,12
0,-1.233361051,0,158.0100735,4,meng_4_73,12
-100,-2.976943217,80,114.7168517,3,meng_3_76,8
-100,-2.976943217,80,114.7168517,3,meng_3_76,8
-100,-2.976943217,80,114.7168517,3,meng_3_76,8
